iShares Russell 1000 Value ETF
Fund Holdings as of,"Oct 31, 2023"
Inception Date,"May 22, 2000"
Shares Outstanding,"318,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","1,627,042,628.09","3.48","1,627,042,628.09","4,766,773.00","341.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,103,733,939.00","2.36","1,103,733,939.00","10,427,340.00","105.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","1,044,920,897.38","2.23","1,044,920,897.38","7,514,173.00","139.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","930,616,626.92","1.99","930,616,626.92","6,273,538.00","148.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","746,582,586.66","1.60","746,582,586.66","4,976,222.00","150.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","671,207,168.71","1.44","671,207,168.71","4,605,827.00","145.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","607,158,515.73","1.30","607,158,515.73","3,715,553.00","163.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","556,414,455.22","1.19","556,414,455.22","10,673,594.00","52.13","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","554,108,915.10","1.19","554,108,915.10","5,395,413.00","102.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","477,590,584.74","1.02","477,590,584.74","18,131,761.00","26.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","449,487,634.40","0.96","449,487,634.40","14,708,365.00","30.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","442,135,043.92","0.95","442,135,043.92","1,156,937.00","382.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","439,781,193.86","0.94","439,781,193.86","10,651,034.00","41.29","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","399,211,468.30","0.85","399,211,468.30","4,222,226.00","94.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","396,651,230.50","0.85","396,651,230.50","10,867,157.00","36.50","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","388,387,573.65","0.83","388,387,573.65","4,760,235.00","81.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","384,835,098.00","0.82","384,835,098.00","10,954,600.00","35.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","379,938,081.68","0.81","379,938,081.68","9,553,384.00","39.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","374,959,292.40","0.80","374,959,292.40","3,156,223.00","118.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","360,178,047.12","0.77","360,178,047.12","4,039,682.00","89.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","342,104,263.68","0.73","342,104,263.68","2,365,212.00","144.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","328,977,112.88","0.70","328,977,112.88","1,713,244.00","192.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","309,596,246.79","0.66","309,596,246.79","3,803,861.00","81.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","307,214,939.90","0.66","307,214,939.90","5,269,553.00","58.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GE","GENERAL ELECTRIC","Industrials","Equity","306,560,812.32","0.66","306,560,812.32","2,822,064.00","108.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","292,160,412.81","0.62","292,160,412.81","1,114,393.00","262.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","288,646,896.51","0.62","288,646,896.51","5,109,699.00","56.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","286,997,664.80","0.61","286,997,664.80","18,636,212.00","15.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","281,977,003.82","0.60","281,977,003.82","5,472,094.00","51.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","276,632,436.08","0.59","276,632,436.08","1,509,508.00","183.26","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","267,481,338.02","0.57","267,481,338.02","765,742.00","349.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","255,527,298.18","0.55","255,527,298.18","3,253,467.00","78.54","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","255,160,523.42","0.55","255,160,523.42","840,422.00","303.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","243,962,117.28","0.52","243,962,117.28","3,457,513.00","70.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","241,943,266.50","0.52","241,943,266.50","2,401,422.00","100.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","241,052,387.40","0.52","241,052,387.40","2,331,261.00","103.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","240,800,400.45","0.52","240,800,400.45","535,005.00","450.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","236,911,337.24","0.51","236,911,337.24","386,933.00","612.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","234,366,913.71","0.50","234,366,913.71","3,539,751.00","66.21","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","234,287,412.42","0.50","234,287,412.42","1,254,081.00","186.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","230,262,364.08","0.49","230,262,364.08","1,072,884.00","214.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","230,018,335.16","0.49","230,018,335.16","3,333,116.00","69.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","221,634,660.18","0.47","221,634,660.18","3,129,549.00","70.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","217,588,368.80","0.47","217,588,368.80","703,714.00","309.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","215,510,150.05","0.46","215,510,150.05","1,036,555.00","207.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","207,029,131.03","0.44","207,029,131.03","1,315,891.00","157.33","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","206,403,421.40","0.44","206,403,421.40","3,708,290.00","55.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","206,042,785.44","0.44","206,042,785.44","384,724.00","535.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","200,766,156.80","0.43","200,766,156.80","3,857,920.00","52.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","199,924,482.89","0.43","199,924,482.89","5,062,661.00","39.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","199,480,504.60","0.43","199,480,504.60","934,510.00","213.46","United States","NASDAQ","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","199,409,381.10","0.43","199,409,381.10","1,386,135.00","143.86","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","198,651,966.59","0.42","198,651,966.59","1,398,859.00","142.01","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","196,012,873.26","0.42","196,012,873.26","251,334.00","779.89","United States","NASDAQ","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","193,119,701.25","0.41","193,119,701.25","1,529,661.00","126.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","192,506,658.75","0.41","192,506,658.75","1,362,879.00","141.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","191,307,779.90","0.41","191,307,779.90","3,737,210.00","51.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","190,886,422.30","0.41","190,886,422.30","2,836,351.00","67.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","190,229,168.07","0.41","190,229,168.07","2,844,761.00","66.87","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","188,423,514.24","0.40","188,423,514.24","907,584.00","207.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","186,762,381.00","0.40","186,762,381.00","4,649,300.00","40.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","186,467,211.48","0.40","186,467,211.48","737,666.00","252.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","186,400,187.98","0.40","186,400,187.98","689,809.00","270.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","180,933,670.32","0.39","180,933,670.32","1,108,119.00","163.28","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","178,344,095.94","0.38","178,344,095.94","2,006,346.00","88.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","177,136,785.50","0.38","177,136,785.50","1,798,343.00","98.50","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","171,509,983.55","0.37","171,509,983.55","385,615.00","444.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","166,916,021.25","0.36","166,916,021.25","1,103,577.00","151.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","165,635,044.78","0.35","165,635,044.78","351,346.00","471.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","163,029,451.92","0.35","163,029,451.92","577,218.00","282.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","162,805,661.20","0.35","162,805,661.20","526,198.00","309.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","160,459,925.76","0.34","160,459,925.76","2,136,048.00","75.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","158,294,682.64","0.34","158,294,682.64","1,473,331.00","107.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","153,720,261.44","0.33","153,720,261.44","637,024.00","241.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","151,126,154.94","0.32","151,126,154.94","1,034,898.00","146.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","148,557,426.41","0.32","148,557,426.41","1,445,533.00","102.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","144,912,595.10","0.31","144,912,595.10","603,551.00","240.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PXD","PIONEER NATURAL RESOURCE","Energy","Equity","144,763,734.00","0.31","144,763,734.00","605,706.00","239.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
